2001_IV,2001_NRMVotes,2001_OV,2006_IV,2006_NRMVotes,2011_IV,2011_NRMVotes,2011_NRM_Score,2016_IV,2016_NRMVOTES,2016_NRM_Score,2016_Opp_Votes,2021_NRM_Score
5687.0,186273.0,21143.0,7230.0,112651.0,3202.0,81596.0,0.805321700338528,6498.0,84349.0,0.6851347948632557,38764.0,0.4495779583981976
1117.0,56802.0,7102.0,5511.0,33144.0,1329.0,24035.0,0.7828735220351128,1747.0,24761.0,0.669976730342551,12197.0,0.775097552323519
2953.0,90620.0,42863.0,4530.0,63522.0,9808.0,94004.0,0.5298089387364031,9293.0,97367.0,0.413576182850735,138060.0,0.4807057829862486
2627.0,117325.0,6169.0,4993.0,116059.0,7038.0,138918.0,0.9104958905186992,12933.0,176339.0,0.8139762461975913,40300.0,0.8478935278376394
1894.0,61870.0,8031.0,2691.0,59478.0,1575.0,30020.0,0.8063173162149821,2163.0,33039.0,0.748521715489703,11100.0,0.4992897873479218
1087.0,77177.0,3091.0,2871.0,72896.0,2811.0,86233.0,0.944201732198973,2804.0,86533.0,0.8861274103202155,11120.0,0.905183799251596
3084.0,14077.0,52026.0,3161.0,13580.0,3025.0,17965.0,0.3881890274206444,4799.0,21806.0,0.4183565796289545,30317.0,0.5272655943507257
3387.0,61458.0,2879.0,2414.0,26842.0,3453.0,11297.0,0.6017684973099664,3397.0,29673.0,0.9132963988919668,2817.0,0.831831522578652
5499.0,50472.0,47143.0,6906.0,30398.0,3127.0,28121.0,0.5458374580251946,4118.0,36653.0,0.5320047607988853,32243.0,0.5673794648819506
6183.0,40767.0,164299.0,11112.0,12035.0,8343.0,45849.0,0.4936635262449529,6006.0,46777.0,0.3948059182484955,71704.0,0.6090027060920071
3487.653846153846,95519.71153846153,42442.480769230766,4310.5,59566.41176470588,2977.3963963963965,48278.52252252252,0.6988057023009914,4247.855855855856,53157.56756756757,0.6414857115602669,34444.72972972973,0.2794420120150697
5001.0,152313.0,87197.0,13823.0,126561.0,2595.0,41643.0,0.5350782514840798,2916.0,41998.0,0.4573401139048905,49833.0,0.323703555390292
3630.0,88454.0,21248.0,7095.0,85765.0,3326.0,54583.0,0.8274664968770845,6409.0,55106.0,0.6961783841829322,24049.0,0.6766370152232376
6876.0,165730.0,57592.0,3393.0,49836.0,5329.0,71718.0,0.6258169792057522,6545.0,65543.0,0.472739730967579,73102.0,0.5401085864834573
4295.0,425879.0,39632.0,4667.0,93571.0,4199.0,105781.0,0.785360566036335,3760.0,113697.0,0.7079293919865508,46908.0,0.8794229818490006
2644.0,68330.0,2612.0,3226.0,28363.0,2010.0,7846.0,0.5477902674020806,2206.0,20240.0,0.893046240734204,2424.0,0.8734907706789997
957.0,15158.0,10657.0,1566.0,11610.0,1932.0,16318.0,0.5527965039466106,2810.0,20973.0,0.5880720053835801,14691.0,0.7442021884697044
2648.0,92914.0,32930.0,4014.0,75988.0,2198.0,45275.0,0.6612191844841687,3210.0,41618.0,0.5500224671583009,34048.0,0.2646529045102268
4698.0,176744.0,30126.0,4428.0,111232.0,6284.0,126951.0,0.8552805324997305,9455.0,143801.0,0.7739433701285771,42002.0,0.6266815556679985
5184.0,155702.0,85195.0,6840.0,123339.0,3864.0,78368.0,0.5937014674353593,9752.0,86328.0,0.4928325540769666,88839.0,0.2570517826007894
4844.0,74494.0,41299.0,4887.0,54208.0,4599.0,52421.0,0.5825591216216216,9573.0,72505.0,0.6586393902782446,37578.0,0.6896576870907049
1717.0,108452.0,32101.0,3758.0,100077.0,3138.0,110779.0,0.7580800788333756,6540.0,112076.0,0.6795820978783524,52843.0,0.8651638488833229
5636.0,114343.0,41758.0,6878.0,82277.0,3290.0,57117.0,0.6342739114501782,4458.0,58560.0,0.5397682757095058,49931.0,0.6488612237019881
3523.0,106035.0,35114.0,5625.0,103130.0,7370.0,84842.0,0.7031726561463997,6715.0,90593.0,0.6199395067473243,55539.0,0.5783332925665925
2253.0,175767.0,27927.0,2688.0,60085.0,3203.0,59850.0,0.5935321360215,4215.0,56425.0,0.4829336346051798,60413.0,0.7142132213867233
5446.0,62977.0,52836.0,4640.0,17045.0,2585.0,23711.0,0.345928832995346,4022.0,32917.0,0.380077592776482,53689.0,0.5550474173205603
7003.0,89403.0,70999.0,9856.0,47549.0,5494.0,75820.0,0.5928578689332156,9557.0,64882.0,0.41572105003492,91189.0,0.5582286428095248
1204.0,14944.0,9830.0,1990.0,11277.0,2526.0,20918.0,0.6487207318964181,4337.0,26346.0,0.6609965377088665,13512.0,0.7566618556256867
4324.0,82433.0,24977.0,6854.0,74457.0,3935.0,54011.0,0.7001049943614139,6910.0,60765.0,0.6125442283847945,38436.0,0.4616929410583392
2526.0,45670.0,24901.0,3457.0,44405.0,2828.0,52936.0,0.6754280756373287,4358.0,51658.0,0.5527520972436226,41798.0,0.4649703403059632
3914.0,56003.0,14914.0,1668.0,12940.0,1849.0,28745.0,0.7166006032956896,3266.0,32722.0,0.6348485730361058,18821.0,0.7249759982932119
685.0,46471.0,2174.0,1115.0,35165.0,1001.0,43737.0,0.9200622672865348,2445.0,45757.0,0.8445679057920189,8421.0,0.6518487517286556
1080.0,58659.0,10118.0,1477.0,47213.0,1669.0,56053.0,0.8135649801155331,2018.0,51749.0,0.7026913258378144,21895.0,0.567147711172687
958.0,107804.0,2384.0,2190.0,83436.0,4605.0,92018.0,0.9006538250724297,3021.0,103756.0,0.860645675038986,16800.0,0.940206481215945
3041.0,60822.0,23775.0,3276.0,55152.0,3592.0,59205.0,0.7521533653479686,5250.0,56274.0,0.5608275779591593,44067.0,0.3500482912695238
1741.0,114083.0,3425.0,2696.0,99291.0,3372.0,87368.0,0.9074272182465908,4491.0,112470.0,0.855408766285623,19011.0,0.8577540520676182
3211.0,59925.0,20802.0,3599.0,48056.0,3466.0,66663.0,0.7695140251644926,6639.0,71846.0,0.6196238066079637,44105.0,0.4329958257882969
3600.0,8918.0,58366.0,3132.0,12419.0,2953.0,15188.0,0.4611647537499241,1752.0,17336.0,0.3886124187401927,27274.0,0.6360502838605029
2515.0,84703.0,22128.0,3145.0,59122.0,1976.0,34479.0,0.5270567733651289,3538.0,40596.0,0.4902602499849043,42209.0,0.5284463494156867
4656.0,153719.0,145117.0,7646.0,129524.0,9306.0,170890.0,0.4926444939648238,16338.0,172129.0,0.3675998556329831,296122.0,0.2181745325022261
2027.0,11541.0,22557.0,1918.0,19832.0,2562.0,31811.0,0.5894528137565549,3924.0,44837.0,0.6838139974683158,20732.0,0.7123822909346451
3487.653846153846,95519.71153846153,42442.480769230766,1625.0,8351.0,1904.0,21995.0,0.4356394462160074,2820.0,34837.0,0.5535921435268318,28092.0,0.5663579306562672
3487.653846153846,95519.71153846153,42442.480769230766,1735.0,53600.0,2687.0,57122.0,0.7708147788303241,3010.0,53673.0,0.5794843557686079,38949.0,0.8416986614696993
3487.653846153846,95519.71153846153,42442.480769230766,1192.0,23635.0,1617.0,21102.0,0.9329737377310108,1868.0,31915.0,0.9495968341813203,1694.0,0.9436281859070464
3487.653846153846,95519.71153846153,42442.480769230766,715.0,7112.0,1171.0,19350.0,0.559685303560582,2020.0,24789.0,0.5538574971512836,19968.0,0.7531593728059911
3487.653846153846,95519.71153846153,42442.480769230766,1852.0,7495.0,3190.0,32954.0,0.5639042420301511,4366.0,44373.0,0.5586920665298465,35050.0,0.6131668317532192
3487.653846153846,95519.71153846153,42442.480769230766,641.0,15865.0,889.0,19895.0,0.9050586843781276,1109.0,22169.0,0.8140192406550635,5065.0,0.8736842105263158
3487.653846153846,95519.71153846153,42442.480769230766,2158.0,29031.0,2417.0,41178.0,0.7220916774804476,3382.0,38812.0,0.5648997176374698,29894.0,0.5474792468110954
